term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,meaninglanguage1,meaning1,meaninglanguage2,meaning2
동네에,제 동네에 작지만 긴 강이 있어요.,,,,,,,en,the neighborhood,,
긴,제 동네에 작지만 긴 강이 있어요.,,,,,,,en,Long,,
자전거도,자전거도 탈 수 있어요.,,,,,,,en,bike and,,
동네가,저는 제가 살고 있는 동네가 정말 좋아요.,,,,,,,en,Neighborhood,,
산책로에,산책로에 운동기구도 있어서 운동을 하는…,,,,,,,en,on the promenade,,
운동기구도,산책로에 운동기구도 있어서 운동을 하는 사람도…,,,,,,,en,Exercise equipment,,
강을,강을 따라서 계속 가면 다른…,,,,,,,en,river,,
따라서,강을 따라서 계속 가면 다른 동네에…,,,,,,,en,"adv.  accordingly, so, therefore, thus",,
번도,…담겨 있다고 생각을 한 번도 못했어요.,,,,,,,en,(not) even once,,
위험하지,밤에 산책을 해도 위험하지 않고 정말 안전해요.,,,,,,,en,"risky, dangerous",,
시끄럽지,왜냐하면 많은 것들이 있지만 시끄럽지 않아요.,,,,,,,en,It's noisy.,,
안전해요,…해도 위험하지 않고 정말 안전해요.,,,,,,,en,It's safe.,,
교사관이나,"교사관이나 병원, 은행도 있어서 다른…",,,,,,,en,Teacher Center or,,
강,강 옆에 길이 있어서 산책도…,,,,,,,en,severe; harsh; forced; rough; trying; unreasonable; straight; pure,,
산책로도,아름다운 공원이 있고 산책로도 잘 되어 있는 게…,,,,,,,en,"walk, stroll 로 도",,
동네는,여러분의 동네는 어때요?,,,,,,,en,Neighborhood,,
평일에는,그래서 평일에는 많이 못 놀았어요.,,,,,,,en,Weekdays,,
다녀서,…뭐… 길게도 여행을 잘 다녀서...( 네.) 잠을 엄청 잘…,,,,,,,en,frequenting /going to ( so ) ( because),,
걸렸어요,…회사까지 버스로 1 시간이 걸렸어요,동사,걸리다,동사,걸리다,,,en,caught (a cold); take time,,
지난주에,저는 지난주에 감기에 걸렸어요.,,,,,,,en,[-週] last week,,
떠오르지도,…해 봤자 좋은 아이디어도 떠오르지도 않고 분명히 실수도 있을…,,,,,,,en,Not even rise,,
눈앞에,…있으니까. 난 지금 내 눈앞에.,,,,,,,en,before[in front of] one's (very) eyes,,
옛날에,"…프로젝트가 있으면 일을 했었는데, 옛날에, 옛날 이야기예요.( 네, 네,…",,,,,,,en,"in old days, once",,
옛날,"…있으면 일을 했었는데, 옛날에, 옛날 이야기예요.( 네, 네, 네.)",,,,,,,en,n.  old days,,
실수도,…아이디어도 떠오르지도 않고 분명히 실수도 있을 것이고.,,,,,,,en,失手  error,,
박,"1 박 2 일, 2 박…",,,,,,,en,counter for nights,,
하나예요,매운 요리의 핵심 재료중 하나예요,,,,,,,en,It's one,,
길게도,…3 일도 가고 뭐… 길게도 여행을 잘 다녀서...( 네.)…,,,,,,,en,Long,,
고추입니다,바로~ 고추입니다,,,,,,,en,It's pepper,,
핵심,매운 요리의 핵심 재료중 하나예요,,,,,,,en,Core,,
재료중,매운 요리의 핵심 재료중 하나예요,,,,,,,en,Materials of,,
고추로,고추장은 고추로 만든 양념중 하나예요,,,,,,,en,with chilli,,
양념중,고추장은 고추로 만든 양념중 하나예요,,,,,,,en,Seasoning,,
사지,…줄이고 필요 없는 물건을 사지 않으려고 해요.,,,,,,,en,"돈을 주고) buy, get, (formal) purchase",,
설쳐요,"…엄청 잘 자는데 저만 설쳐요, 잠을 항상.",,,,,,,en,"잠을 설치다 
1. sleep fitfully
2. do not get a good night's sleep
3. do not sleep well at night",,
잔,잠을 잤지만 안 잔 것 같아요.,,,,,,,en,shot glass / small glass cup,,
통화를,저는 엄마하고 통화를 많이 해요.,,,,,,,en,"call, phone conversation, currency",,
짜증이,그리고 잠을 못 자면 짜증이 나요.,,,,,,,ja,嫌気　癇癪　うんざりすること,,
반이었어요,…집에 가면 6 시 반이었어요,,,,,,,en,I was half,,
늦으면,금요일에 차가 많아서 늦으면 7 시였어요,동사,늦다,늦다,동사,,,en,if late,,
취미활동을,저녁에 너무 피곤해서 취미활동을 할 수 없었어요,,,,,,,en,Hobbies,,
지루했어요,…올 때 힘들었고 정말 지루했어요,,,,,,,en,Bored,,
사고,가끔 카페에 가서 커피를 사고 가끔 회사에서 만들었어요,동사,사다,사다,동사,,,en,buy,,
샐러드를,가끔 점심으로 회사에서 샐러드를 먹었어요,,,,,,,en,Salad,,
동료하고,그런데 보통 동료하고 식당에 갔어요,,,,,,,en,With a colleague,,
식당에,그런데 보통 동료하고 식당에 갔어요,,,,,,,en,at restaurant,,
식당에서,식당에서 같이 밥을 먹었어요,,,,,,,en,"at cafeteria , restaurant",,
고픈,그는 배가 고픈 손님을 위해 음식을 만들어요.,,,,,,,en,Hungry,,
배가,그는 배가 고픈 손님을 위해 음식을…,,,,,,,en,stomach,,
요리사예요,그는 식당의 요리사예요.,,,,,,,en,is a cook,,
다음과,같은 이야기를 다르게 표현하면 다음과 같습니다.,,,,,,,en,as follows; for example,,
휴가가,동현이는 겨울 휴가가 기다려져요.,,,,,,,en,Vacation,,
음식을,…배가 고픈 손님을 위해 음식을 만들어요.,,,,,,,en,food,,
친절한,민수는 친절한 사람들을 많이 만나요.,,,,,,,en,"kind, friendly",,
손님을,그는 배가 고픈 손님을 위해 음식을 만들어요.,,,,,,,en,"guest, visitor, customer",,
하지,이 주 동안 일을 하지 않아도 되어요.,,,,,,,en,do 지,,
결심해요,…동안 집에서 프랑스어를 공부하기로 결심해요.,동사,결심하다,동사,결심하다,,,en,"decision, resolution, determination, decide, determine, make up one's mind, (formal) resolve",,
기간,…돈을 아끼기 위해 휴가 기간 동안 집에서 프랑스어를 공부하기로…,,,,,,,en,time period,,
표가,비행기 표가 정말 비싸요.,,,,,,,en,Tickets,,
손님들과,민수는 손님들과 얘기할 때 행복해요.,,,,,,,en,With the guests,,
기다려져요,동현이는 겨울 휴가가 기다려져요.,,,,,,,en,I'm looking forward to it.,,
휴가,그는 돈을 아끼기 위해 휴가 기간 동안 집에서 프랑스어를…,,,,,,,en,Vacation,,
아끼기,그는 돈을 아끼기 위해 휴가 기간 동안…,,,,,,,en,Save,,
표현하면,같은 이야기를 다르게 표현하면 다음과 같습니다.,동사,표현하다,동사,표현하다,,,en,To express,,
싸지,"아니요, 프랑스는 싸지 않아요.",,,,,,,en,Cheap,,
휴가로,삼: 동현이는 휴가로 프랑스에 가고싶어해요.,,,,,,,en,On vacation,,
싸요,프랑스는 싸요?,동사,싸다,동사,싸다,,,en,adj.  cheap,,
결심했어요,…동안 집에서 프랑스어를 공부하기로 결심했어요.,동사,결심하다,동사,결심하다,,,en,I made up my mind.,,
모음과,그리고 우리가 배운 모음과 자음으로 이루어진 한국어의 음절…,,,,,,,en,vowel and,,
선택한,선택한 수업을 읽어보도록 하세요.,,,,,,,en,Selected,,
새,"…ㅅ'를 만나면‘ 새',‘ ㅇ'를 만나면‘ 애'가 됩니다.",,,,,,,en,new,,
내는,…벌리고 혀를 아래로 내려서 내는 소리입니다.,,,,,,,en,내는 = presenting; giving,,
기념일이,한국에 중요한 기념일이 많아요.,,,,,,,en,Anniversary,,
단모음은,"…모음은 모두 21 개입니다. 단모음은 10 개, 이중모음은 11…",,,,,,,en,Short vowels,,
신문기자입니다,신문기자입니다.,,,,,,,en,Newspaper reporter,,
자기소개,제 4 과. 자기소개,,,,,,,en,self introduction,,
알아볼,…이루어진 한국어의 음절 구조도 알아볼 거예요.,동사,알아보다,동사,알아보다,,,en,"알아보다   investigate, check (up on), search, look into, inquire, see",,
마지막으로,마지막으로 문화에서는 한국의 상징에 대해서…,,,,,,,en,lastly,,
살펴보지요,"…ㅚ, ㅟ'입니다. 하나씩 자세히 살펴보지요.",,,,,,,en,I'll take a look.,,
하나요,"엄마, 저 학교에 가야 하나요?",,,,,,,en,need,,
지난,오늘은 지난 시간에 이어서 한글을 공부할…,,,,,,,en,Last,,
단모음부터,…먼저 나머지 4 개의 단모음부터 공부해볼까요?,,,,,,,en,[單母音] a single vowel + 부터,,
뜻을,새로운 단어와 구문의 뜻을 확인하세요.,,,,,,,en,meaning,,
구문의,새로운 단어와 구문의 뜻을 확인하세요.,,,,,,,en,Syntax + [Preposition] of (의),,
아래로,…ㅐ'는 입을 벌리고 혀를 아래로 내려서 내는 소리입니다.,,,,,,,en,Under,,
상징에,마지막으로 문화에서는 한국의 상징에 대해서 알아보겠습니다.,,,,,,,en,In the symbol,,
구조도,…자음으로 이루어진 한국어의 음절 구조도 알아볼 거예요.,,,,,,,en,"[構造] structure, constitution, organization",,
굉장히,제 방은 굉장히 커요.,,,,,,,en,greatly; very much; extremely,,
음절,…모음과 자음으로 이루어진 한국어의 음절 구조도 알아볼 거예요.,,,,,,,en,Syllable,,
모음을,계속해서 오늘은 한글의 모음을 공부하겠습니다.,,,,,,,en,vowel,,
따라해,따라해 보세요.‘ ㅐ',,,,,,,en,follow,,
기본,"…ㅗ, ㅜ, ㅡ, ㅣ' 기본 모음 6 개를 공부했지요.",,,,,,,en,"basic, fundamental",,
고르세요,수업을 고르세요,동사,고르다,동사,고르다,,,en,Please choose,,
내다가,…입술을 앞으로 내밀고 소리 내다가 입술을 옆으로 당겨서 내는…,,,,,,,en,Come out,,
문화에서는,마지막으로 문화에서는 한국의 상징에 대해서 알아보겠습니다.,,,,,,,en,In culture,,
옷장이,제 방에는 침대하고 옷장이 있어요.,,,,,,,en,Closet,,
이루어진,…우리가 배운 모음과 자음으로 이루어진 한국어의 음절 구조도 알아볼…,,,,,,,en,Made,,
모음은,한국어의 모음은 모두 21 개입니다. 단모음은…,,,,,,,en,Collection of,,
모음,"…ㅜ, ㅡ, ㅣ' 기본 모음 6 개를 공부했지요.",동사,모으다,동사,모으다,,,en,vowels,,
자음을,…한글의 기본모음 6 개와 자음을 공부했지요.,,,,,,,en,consonant,,
주택이에요,우리집은 2 층 주택이에요.,,,,,,,en,it's a house,,
오른쪽으로,"왼쪽에서 오른쪽으로, 다시 위에서 아래로 내려서…",,,,,,,en,to the right,,
이어서,오늘은 지난 시간에 이어서 한글을 공부할 거예요.,,,,,,,en,"is, so; subsequently, next",,
나머지,오늘은 먼저 나머지 4 개의 단모음부터 공부해볼까요?,,,,,,,en,"the rest, the remainder",,
하나씩,"…ㅐ, ㅔ, ㅚ, ㅟ'입니다. 하나씩 자세히 살펴보지요.",,,,,,,en,"One by one, one at a time, piece by piece, separately",,
기본모음,지난 시간에는 한글의 기본모음 6 개와 자음을 공부했지요.,,,,,,,en,Basic Consonant,,
개와,…시간에는 한글의 기본모음 6 개와 자음을 공부했지요.,,,,,,,en,개와 -> with dogs,,
내려서,…입을 벌리고 혀를 아래로 내려서 내는 소리입니다.,,,,,,,en,"fall , come down , rain , snow",,
단모음,"먼저 공부할 단모음 4 개는‘ ㅐ, ㅔ,…",,,,,,,en,monophthong,,
잊어버릴,"여러분은 그것들을 잊어버릴 것이지만, 그건 상관이 없어요.",동사,잊어버리다,동사,잊어버리다,,,en,forget,,
입술을,…ㅚ'는 입술을 동그랗게 만들고‘ ㅗ'를 발음하면서…,,,,,,,en,Lips,,
상관이,"…그것들을 잊어버릴 것이지만, 그건 상관이 없어요.",,,,,,,en,"relation, connection",,
내밀고,…ㅟ'는 입술을 앞으로 내밀고 소리 내다가 입술을 옆으로…,동사,내밀다,동사,내밀다,,,en,"stick out, hold out (손·발을) extend, stretch out, (입술을) pout",,
자세히,"…ㅔ, ㅚ, ㅟ'입니다. 하나씩 자세히 살펴보지요.",,,,,,,en,"in detail, minutely",,
벽에는,벽에는 시계가 걸려 있어요.,,,,,,,en,On the wall,,
모음입니다,한글의 모음입니다.,,,,,,,en,Collection,,
흥미로운,여러분에게 흥미로운 수업을 고르세요.,,,,,,,en,interesting,,
이중모음은,"…개입니다. 단모음은 10 개, 이중모음은 11 개예요.",,,,,,,en,The double vowel,,
혀를,…ㅐ'는 입을 벌리고 혀를 아래로 내려서 내는 소리입니다.,,,,,,,en,Tongue,,
걸려,벽에는 시계가 걸려 있어요.,동사,걸리다,동사,걸리다,,,en,Hanging,,
당겨서,…입을 작게 벌리고 옆으로 당겨서 내는 소리입니다.,,,,,,,en,"(물건 등을) pull, draw, tug (갑자기, 세게) yank, jerk (힘들게, 세게) strain, haul (팽팽히) tighten",,
왼쪽에서,"왼쪽에서 오른쪽으로, 다시 위에서 아래로…",,,,,,,en,On the left side,,
읽어보도록,선택한 수업을 읽어보도록 하세요.,,,,,,,en,"읽어보도록 하세요""

- 읽다: read.

- 읽어 보도록: (so as) to try reading. -도록: so that ..., so as to ... 

* -도록 indicates a purpose, objective, or an expected result.",,
작게,…ㅔ'는‘ ㅐ'보다 입을 작게 벌리고 옆으로 당겨서 내는…,,,,,,,en,"Small, tightly",,
벌리고,…ㅐ'는 입을 벌리고 혀를 아래로 내려서 내는…,동사,벌리다,동사,벌리다,,,en,"Spread, open, widen; yield profits, be profitable, gain, earn",,
여러번,선택한 수업을 여러번 읽어보세요.,,,,,,,en,often; frequently; several times; many times,,
동시에,…동그랗게 만들고‘ ㅗ'를 발음하면서 동시에‘ ㅣ'를 발음하여 내는 소리입니다.,,,,,,,en,at the same time,,
쉬운,여러분에게 쉬운 수업을 고르세요.,,,,,,,en,easy,,
확인하세요,새로운 단어와 구문의 뜻을 확인하세요.,동사,확인하다,동사,확인하다,,,en,"confirm, affirm, identify, survey, sustain, look, see",,
동그랗게,…ㅚ'는 입술을 동그랗게 만들고‘ ㅗ'를 발음하면서 동시에‘…,,,,,,,en,"In a circle, round, spherical",,
발음하면서,…입술을 동그랗게 만들고‘ ㅗ'를 발음하면서 동시에‘ ㅣ'를 발음하여 내는…,,,,,,,en,Pronouncing,,
들어보도록,선택한 수업을 들어보도록 하세요.,,,,,,,en,"Let's hear it, try hearing it, 
* -도록 indicates a purpose, objective, or an expected result.",,
머지않아,머지않아 점점 더 많이 이해하게…,,,,,,,en,soon;,,
발음하여,…ㅗ'를 발음하면서 동시에‘ ㅣ'를 발음하여 내는 소리입니다.,,,,,,,en,By pronunciation,,
플레이어에,,,,,,,,,,,
가지,아주 조금밖에 이해가 가지 않을 것입니다.,,,,,,,en,kinds of,,
글자가,모음‘ ㅐ'는 자음을 만나면 글자가 되는데요.,,,,,,,en,"letter, character",,
옮겨,MP 3 플레이어에 옮겨 여러번 들어보세요.,동사,옮기다,옮기다,동사,,,en,"move, shift",,
조금밖에,아주 조금밖에 이해가 가지 않을 것입니다.,,,,,,,en,Little,,
점점,머지않아 점점 더 많이 이해하게 될…,,,,,,,en,little by little,,
살펴볼까요,…만나서 어떤 글자가 되는지 살펴볼까요?,,,,,,,en,Let's look at,,
자음,"먼저 모음‘ ㅐ'가 자음‘ ㄱ'를 만나면‘ 개',‘ ㄴ'를…",,,,,,,en,Consonant,,
말해보려고,…한국 카페가 최고인 이유를 말해보려고 해요.,,,,,,,en,To tell you,,
최고인,…제가 생각하는 한국 카페가 최고인 이유를 말해보려고 해요.,,,,,,,en,"top, best",,
지금부터,지금부터 제가 생각하는 한국 카페가…,,,,,,,en,now 부터 → from now,,
이유를,…생각하는 한국 카페가 최고인 이유를 말해보려고 해요.,,,,,,,en,reason,,
것이,맛있는 것이 너무 많고 항상 새로웠어요.,,,,,,,en,"A fact, a thing, a matter, a necessity, an affair, the thing to do",,
여전히,한국은 여전히 바쁘고 예쁘고,,,,,,,en,"Still, as ever",,
새로웠어요,…것이 너무 많고 항상 새로웠어요.,,,,,,,en,It was new,,
날씨가,,,,,,,,,,,
한옥,인사동에 있는 한옥 같은 카페도 가봤어요.,,,,,,,en,(traditional) Korean-style house,,
쉽게,이렇게 정말 쉽게 카페에 갈 수 있어요.,,,,,,,en,easily,,
만화책을,"만화책을 읽거나, 컴퓨터 게임을 하면서…",,,,,,,en,Comic books,,
다양하죠,정말 다양하죠?,,,,,,,en,various,,
경험과,다양한 경험과 기억도 팔아요.,,,,,,,en,Experience and,,
다양해요,"두번째로, 한국 카페들은 아주 다양해요.",,,,,,,en,"various, varied, diverse, different",,
식물이,합정동에는 화분과 식물이 정말 많은 카페도 있죠.,,,,,,,en,Plants,,
공장이었던,성수동에는 오래된 공장이었던 카페들이 많아요.,,,,,,,en,"(工場) artisan or craftsman
(工場) Construction site",,
방향이,이사장님 방향이 어디야?,,,,,,,en,"direction, way",,
화분들도,예쁜 사진이나 크고 작은 화분들도 많이 볼 수 있어요.,,,,,,,en,Pots,,
두번째로,"두번째로, 한국 카페들은 아주 다양해요.",,,,,,,en,secondly; the second thing (is),,
오래된,성수동에는 오래된 공장이었던 카페들이 많아요.,,,,,,,en,v.  be old,,
화분과,합정동에는 화분과 식물이 정말 많은 카페도…,,,,,,,en,flower pot; plant pot,,
크고,예쁜 사진이나 크고 작은 화분들도 많이 볼…,동사,크다,동사,크다,,,en,big/ large and,,
깔끔하고,깔끔하고 세련된 분위기의 카페가 정말…,,,,,,,en,neat/tidy and clean,,
공감하실,여러분들이 공감하실 수 있으면 좋겠네요.,,,,,,,en,"sympathize ( with) , sympathy",,
심지어,"고양이, 강아지, 심지어 너구리들과 놀 수 있는…",,,,,,,en,Even,,
재범이반,…응 2 층 재범이반],,,,,,,en,a repeat offender,,
너구리들과,"고양이, 강아지, 심지어 너구리들과 놀 수 있는 카페도…",,,,,,,en,with raccoons,,
공간에서,저는 이렇게 예쁜 공간에서 커피를 마시면,,,,,,,en,"space, void, the infinite",,
팔아요,다양한 경험과 기억도 팔아요.,동사,팔다,동사,팔다,,,en,sell,,
디자이너들인,한국의 카페 사장님들은 다 디자이너들인 것 같아요.,,,,,,,en,"The designers, the",,
들어주셔서,들어주셔서 감사합니다.,,,,,,,en,For listening,,
소리하네,연애 같은 소리하네,,,,,,,en,Shout,,
구라,야 구라 아니지?,,,,,,,en,"lie, trick, deception",,
세련된,깔끔하고 세련된 분위기의 카페가 정말 많아요.,,,,,,,en,"refined, sophisticated, polished, (inf) classy",,
조명도,조명도 따뜻하고 의자와 테이블도 깨끗해요.,,,,,,,en,"조명도
➊ illuminance, intensity of illumination, luminous intensity.",,
되기,너네도 고 3 되기 전에 연애 한 번…,,,,,,,en,"working, becoming, being possible",,
남녀공학,남녀공학?,,,,,,,en,Coed,,
대한민국에서,줄리엣과 성춘향이 지금 대한민국에서 태어났다면?,,,,,,,en,in the Republic of South Korea (ROK),,
분위기의,깔끔하고 세련된 분위기의 카페가 정말 많아요.,,,,,,,en,Atmosphere,,
남녀공학이래,유명고랑 남녀공학이래,,,,,,,en,coeducational,,
사장님들은,한국의 카페 사장님들은 다 디자이너들인 것 같아요.,,,,,,,en,The bosses,,
극혐,내가 이렇게 극혐 하는데도 이유가 있다,,,,,,,en,Extortion,,
이맘때쯤이었나,작년 이맘때쯤이었나?,,,,,,,en,Was it around this time,,
너네도,너네도 고 3 되기 전에…,,,,,,,en,You too,,
이유가,내가 이렇게 극혐 하는데도 이유가 있다,,,,,,,en,[理由] a reason,,
이사장님,이사장님 방향이 어디야?,,,,,,,en,chairman of the board (of directors),,
유명고랑,유명고랑 남녀공학이래,,,,,,,en,famous furrow,,
남녀공학이라니,마른하늘에 남녀공학이라니,,,,,,,en,It's coeducational,,
열다섯에,줄리엣은 열다섯에 로미오를 위해 목숨을 바쳤고,,,,,,,en,To fifteen,,
노관심이다,우리는 대학 이름 말고는 노관심이다,,,,,,,en,is careless,,
유명고니까,너는 네 남친이 유명고니까 좋으시겠지,,,,,,,en,'Cause you're famous,,
방향으로,나 어느 방향으로 절하면 돼?,,,,,,,en,[方向] (1) direction; bearings; a course,,
작년,작년 이맘때쯤이었나?,,,,,,,en,last year,,
마른하늘에,마른하늘에 남녀공학이라니,,,,,,,en,In the dry sky,,
불편하겠냐,우린 남자애들이랑 얼마나 불편하겠냐?,,,,,,,en,would you feel uncomfortable,,
학기,2 학기 때부터 우리,,,,,,,en,semester,,
목숨을,줄리엣은 열다섯에 로미오를 위해 목숨을 바쳤고,,,,,,,en,risk one’s life/neck,,
이따,그게... 실은 이따 재범이 만나러 가기로 했거든,,,,,,,en,after a while;,,
감기에,저는 지난주에 감기에 걸렸어요.,,,,,,,en,"cold, flu",,
경영학과신데,아 경영학과신데 어떻게 또 이렇게 앱…,,,,,,,en,Business Administration,,
경영학을,이야 근데 이게 또 경영학을 하시다가 이렇게 또 코딩…,,,,,,,en,business studies,,
원래는,저는 원래는 문과.,,,,,,,en,originally,,
경영학과,원래는 저는 이제 경영학과 전공이었어요.,,,,,,,en,Business Administration,,
문과요,아 문과요?,,,,,,,en,Questions and answers,,
전공이었어요,원래는 저는 이제 경영학과 전공이었어요.,,,,,,,en,It was a major.,,
여쭤봐야,어떤 준비를 좀 하셨는지 여쭤봐야 됩니까?,,,,,,,en,Should ask,,
경영학과에도,이제 원래 경영학과에도 이제 코딩 프로그램 수업이…,,,,,,,en,Business Administration,,
앱,…경영학과신데 어떻게 또 이렇게 앱 개발자가 되셨어요?,,,,,,,en,App,,
개발자가,…어떻게 또 이렇게 앱 개발자가 되셨어요?,,,,,,,en,Developers,,
개발한다고,거기서 이제 화면을 개발한다고 생각하시면 돼요.,,,,,,,en,If you develop,,
접했는데,그래서 거기서 이제 코딩을 접했는데 아 이거다. 이게 내…,,,,,,,en,"learn (about/of), hear, 3. (만나다, 대하다) encounter, come into contact (with), come across",,
참,…코딩 개발자가 된다라는 것도 참 진짜.,동사,차다,동사,차다,,,en,really,,
길이다,…아 이거다. 이게 내 길이다.,,,,,,,en,길 street; way; path; road,,
수준급하게,라는 생각으로 컴퓨터 공학을 수준급하게 되었다가 개발자가 되었죠.,,,,,,,en,Be sophisticated,,
하시다가,…근데 이게 또 경영학을 하시다가 이렇게 또 코딩 개발자가…,,,,,,,en,Then He,,
준비를,어떤 준비를 좀 하셨는지 여쭤봐야 됩니까?,,,,,,,en,preperation,,
녹음,…가서 수업 때 교수님 녹음 다 한 다음에,,,,,,,en,Recording,,
맨,그래서 맨 앞에 가서 수업 때…,,,,,,,en,Top,,
교수님,…앞에 가서 수업 때 교수님 녹음 다 한 다음에,,,,,,,en,professor,,
남의,남의 교복을 왜 가져가?,,,,,,,en,"another , other",,
누가,또 내 교복 누가 갖고 싶다 했구나 그치…,,,,,,,en,Someone,,
다녀,너 운동.. 이것만 입고 다녀,동사,다니다,동사,다니다,,,en,go (super polite),,
교복을,남의 교복을 왜 가져가?,,,,,,,en,school uniform,,
이걸로,이걸로 무슨 짓 했어?,,,,,,,en,this one ( ill take this one ) leaning towards this one,,
났어,마라탕 냄새 확 났어 지금,동사,나다,동사,나다,,,en,break out,,
그리,누가 날 좋아해도 그리 이상하지 않은,,,,,,,en,"adv. so, in this way; to such an extent",,
마라탕,마라탕 냄새 확 났어 지금,,,,,,,en,mala + 탕 (Mala is a spicy sauce from Sichuan),,
쟤,왔었네 쟤,,,,,,,en,"he/she , him/her",,
가져가,남의 교복을 왜 가져가?,동사,가져가다,동사,가져가다,,,en,"take it with you , bring it with you",,
번을,…야 이리와-몇 번을 속는 거야?,,,,,,,en,Times,,
내놔,아 내놔 아 내놔!,,,,,,,en,Give me that.,,
따위를,네 교복 따위를?,,,,,,,en,adv.  et cetera; such as;,,
꺼야,너 꺼야 이거,,,,,,,en,"put out, turn off",,
퐛팅,퐛팅,,,,,,,en,Fitting,,
부하,아 부하 할게 노예 할게 진짜,,,,,,,en,Burden/ subordinate,,
매력에,…좀 한국어의 특징이랑 한국어의 매력에 대해서 좀 진솔하게 얘기를…,,,,,,,en,Attractive,,
닥쳐,아 닥쳐,,,,,,,en,"(다가오다) approach, draw[come] near",,
어울린다,야 이것도 잘 어울린다,동사,어울리다,동사,어울리다,,,en,"suits you , looks good on you",,
짓,이걸로 무슨 짓 했어?,,,,,,,en,짓 an act (of behavior); behavior; conduct; a motion; a gesture; a movement,,
조아서야,나 몰라? 나 수영부 조아서야,,,,,,,en,only early,,
갖고,또 내 교복 누가 갖고 싶다 했구나 그치 맞지?,,,,,,,en,"(갖다) to have, to hold",,
교복,또 내 교복 누가 갖고 싶다 했구나…,,,,,,,en,school uniform,,
낭만이,…쓰는 단어들이라… 그렇게 생각해요./ 낭만이 없으시네요.,,,,,,,en,Romantic,,
붙지,붙지 마,,,,,,,en,Stick,,
받았었어요,…질문을 인터뷰할 때 많이 받았었어요.“ 가장 좋아하는 한국어 단어”…,,,,,,,en,"had/ was received , taken , accepted",,
번역되기,"뭐, 다른 어떤 언어로 번역되기 어려운 단어들을 고르기도 하는데…",,,,,,,en,To be translated,,
조아서,조.. 조아서 눈치 무슨 일이야,,,,,,,en,braided,,
노예,아 부하 할게 노예 할게 진짜,,,,,,,en,Slave,,
조,조.. 조아서 눈치 무슨 일이야,,,,,,,en,"Trillion; article (in a formal document); reign, dynasty; company",,
편안하고,스스럼없이 편안하고,,,,,,,en,Comfortable and,,
아씨,아씨,,,,,,,en,madam,,
확,마라탕 냄새 확 났어 지금,,,,,,,en,"flare up, flash",,
너네,야 내가 이거 입고 너네 학교 갔음 내가 진짜…,,,,,,,en,you (plural),,
갔음,…이거 입고 너네 학교 갔음 내가 진짜 네 동생…,,,,,,,en,Gone,,
땐,…진짜 왔어 내가 봤을 땐 너,,,,,,,en,"time, when, occasion",,
마주쳐가지고,최우혁은 거기서 마주쳐가지고,,,,,,,en,"meet with, bump into, run into",,
막냇동생,막냇동생 할게 진짜로,,,,,,,en,youngest brother,,
체육복,체육복,,,,,,,en,Gym shorts,,
왔었지,너 우리 학교 왔었지?,,,,,,,en,came,,
스스럼없이,스스럼없이 편안하고,,,,,,,en,Without hesitation,,
특징이랑,오늘은 좀 한국어의 특징이랑 한국어의 매력에 대해서 좀…,,,,,,,en,with features,,
별의별,"한국어로 하는 별의별 한국 이야기, 비빔챗!",,,,,,,en,various kinds of; all sorts of,,
하필,아씨 왜 하필,,,,,,,en,(何必) why oh why; just my luck; unfortunately,,
포스트잇,포스트잇!,,,,,,,en,post-it,,
건이야,건이야,,,,,,,en,It's,,
집중하자,아니야 집중하자 조아라,,,,,,,en,Let's concentrate,,
고르기도,"…사랑”, 뭐 이런 거 고르기도 하고( 네.)",,,,,,,en,Leveling,,
어렵더라고요,…단어” 했는데( 네.) 진짜 어렵더라고요.,,,,,,,en,It was difficult.,,
좀,오늘은 좀 한국어의 특징이랑 한국어의 매력에…,,,,,,,en,a bit,,
쓰는,그냥 다 필요할 때 쓰는 단어들이라… 그렇게 생각해요./ 낭만이…,,,,,,,en,write,,
이런,"…한국어, 한글로 된 단어, 이런 것들 중에서 혹시“ 나는…",,,,,,,en,"like this, such a...",,
너라면,너라면 주겠냐?,,,,,,,en,If you,,
지켜보고,언제나 늘 지켜보고 있어,동사,지켜보다,지켜보다,동사,,,en,"지켜보다   (유심히 보다) watch, observe, eye",,
필요할,그냥 다 필요할 때 쓰는 단어들이라… 그렇게…,,,,,,,en,"필요하다 v. need, require",,
이유만으로,…내가 단지 자주 쓴다는 이유만으로 이 단어가 어떤 의미고…,,,,,,,en,Just because,,
쓴다는,"…아, 내가 단지 자주 쓴다는 이유만으로 이 단어가 어떤…",,,,,,,en,"write, compose, use",,
고르시겠어요,…하는데 저는 없어요.( 못 고르시겠어요?)“ 뭐 하나가 딱 좋다”…,,,,,,,en,Would you choose,,
이라는,"저는"" 안녕"" 이라는 단어를 되게 좋아해요.",,,,,,,en,"being said, being called",,
진솔하게,…한국어의 매력에 대해서 좀 진솔하게 얘기를 나눠 볼까요?,,,,,,,en,眞率-  honest,,
때도,"…필요 이상으로 많이 쓸 때도 있거든요, 너무 그 단어가…",,,,,,,en,Even when,,
단어들이라,…다 필요할 때 쓰는 단어들이라… 그렇게 생각해요./ 낭만이 없으시네요.,,,,,,,en,are words,,
